campaign_code,Date,Profile name,Profile followers,Platform,Content type,Media type,Labels,Total impressions,Total reach,Engagements,Total likes,Total comments,Total shares,Saves,Media views,Exits,Taps forward,Taps back,Completion rate,Video view count,Content ID
AhmedM_Salam_26,2026-07-03 14:01:39,Avant Arte,2911422,instagram,story,photo,AhmedM_Salam_26;Edition,6760,5917,0,,0,2,,6760,381,4025,70,0.33786982,,18003927395764812
AhmedM_Salam_26,2026-07-03 14:00:05,Avant Arte,2911422,instagram,post,carousel,AhmedM_Salam_26;Edition,176447,69891,3522,2960,25,213,290,176447,,,,,,17924749128142385
AhmedM_Salam_26,2026-07-03 13:00:03,Avant Arte,13506,twitter,post,photo,AhmedM_Salam_26;Edition,695,,44,7,0,2,,,,,,,,2073029001212510698
AhmedM_Salam_26,2026-07-03 14:00:03,Avant Insiders,72758,instagram,post,carousel,AhmedM_Salam_26;Edition,4129,1796,58,49,3,3,2,4129,,,,,,17947445271238433
ZengFanzhi_TL_26,2026-07-03 09:08:39,Avant Arte,2911417,instagram,story,photo,Edition;ZengFanzhi_TL_26,7328,6601,1,,1,1,,7328,764,4248,66,0.3070415,,18171260041425767
GiuseppePen_LE_26,2026-07-02 14:00:12,Avant Insiders,72766,instagram,story,photo,Edition;GiuseppePen_LE_26,668,596,0,,0,1,,668,53,226,8,0.5703593,,17936447178266711
GiuseppePen_LE_26,2026-07-02 13:59:25,Avant Arte,2911357,instagram,story,photo,Edition;GiuseppePen_LE_26,5920,5215,0,,0,1,,5920,595,4000,153,0.19797297,,18333242377280542
GregoryCrewd_TL_26,2026-07-02 12:01:32,Avant Insiders,72765,instagram,story,photo,Edition;GregoryCrewd_TL_26,360,314,0,,0,0,,360,37,257,15,0.14166667,,18051105044787438
GregoryCrewd_TL_26,2026-07-02 12:00:40,Avant Arte,2911334,instagram,story,photo,Edition;GregoryCrewd_TL_26,5029,4425,0,,0,0,,5029,397,3722,89,0.16325313,,18614062609032359
Backside_LE_26,2026-07-02 10:07:01,Avant Insiders,72766,instagram,story,photo,Backside_LE_26;Edition,394,329,0,,0,0,,394,22,287,24,0.15482233,,18012085178918787
Backside_LE_26,2026-07-02 10:06:57,Avant Insiders,72766,instagram,story,photo,Backside_LE_26;Edition,446,370,0,,0,0,,446,37,286,8,0.25784755,,17915127723407730
Backside_LE_26,2026-07-02 10:03:13,Avant Arte,2911307,instagram,story,photo,Backside_LE_26;Edition,4765,4324,0,,0,0,,4765,294,3716,107,0.1359916,,18103106614871832
Backside_LE_26,2026-07-02 10:01:38,Avant Arte,2911307,instagram,story,photo,Backside_LE_26;Edition,5778,5143,1,,1,0,,5778,432,3726,97,0.263586,,18104127428120919
Backside_LE_26,2026-07-02 10:00:37,Avant Arte,2911307,instagram,post,carousel,Backside_LE_26;Edition,103034,39154,1430,1278,9,21,106,103034,,,,,,18016202729908684
Backside_LE_26,2026-07-02 09:00:03,Avant Arte,13508,twitter,post,photo,Backside_LE_26;Edition,619,,36,6,0,0,,,,,,,,2072606216690221146
Backside_LE_26,2026-07-02 10:00:01,Avant Insiders,72766,instagram,post,carousel,Backside_LE_26;Edition,3924,1623,94,82,3,4,5,3924,,,,,,17874978579618715
GregoryCrewd_TL_26,2026-07-01 17:00:12,Avant Insiders,72767,instagram,story,photo,Edition;GregoryCrewd_TL_26,2636,2088,0,,0,1,,2636,72,327,5,0.8467375,,18011347598923900
GregoryCrewd_TL_26,2026-07-01 16:00:02,Avant Arte,13507,twitter,post,photo,Edition;GregoryCrewd_TL_26,745,,65,10,0,1,,,,,,,,2072349520697139705
GregoryCrewd_TL_26,2026-07-01 16:59:25,Avant Arte,2911154,instagram,story,photo,Edition;GregoryCrewd_TL_26,8127,7077,0,,0,2,,8127,903,4639,90,0.30700135,,18015832496854607
GregoryCrewd_TL_26,2026-06-30 17:04:06,Avant Insiders,72765,instagram,story,photo,Edition;GregoryCrewd_TL_26,402,344,0,,0,0,,402,67,259,11,0.16169155,,18091470488380611
GregoryCrewd_TL_26,2026-06-30 17:03:53,Avant Insiders,72765,instagram,story,photo,Edition;GregoryCrewd_TL_26,2151,1480,0,,0,1,,2151,43,297,1,0.8414691,,18122901598602564
GregoryCrewd_TL_26,2026-06-30 17:01:36,Avant Arte,2911145,instagram,story,photo,Edition;GregoryCrewd_TL_26,8683,7427,0,,0,1,,8683,731,4937,198,0.32442704,,18156224740472114
GregoryCrewd_TL_26,2026-06-30 17:01:02,Avant Arte,2911145,instagram,story,photo,Edition;GregoryCrewd_TL_26,8811,7670,0,,0,0,,8811,735,5367,64,0.30019295,,18111009124869331
GregoryCrewd_TL_26,2026-06-30 17:00:03,Avant Insiders,72765,instagram,post,carousel,Edition;GregoryCrewd_TL_26,6171,2641,55,39,2,6,7,6171,,,,,,18118393255647150
GregoryCrewd_TL_26,2026-06-30 17:00:03,Avant Arte,2911143,instagram,post,carousel,Edition;GregoryCrewd_TL_26,298160,124447,3216,2794,9,82,309,298160,,,,,,17931113124343840
GregoryCrewd_TL_26,2026-06-30 16:00:00,Avant Arte,13510,twitter,post,photo,Edition;GregoryCrewd_TL_26,624,,22,6,0,2,,,,,,,,2071987123096355182
HankWillisT_LE_26,2026-06-29 14:02:15,Avant Insiders,72777,instagram,story,photo,Edition;HankWillisT_LE_26,556,503,0,,0,0,,556,80,350,4,0.21942446,,18405199834157383
HankWillisT_LE_26,2026-06-29 14:01:23,Avant Arte,2911203,instagram,story,photo,Edition;HankWillisT_LE_26,7798,6774,0,,0,1,,7798,895,5035,94,0.22749422,,18093774056605403
LY_LE_26,2026-06-29 11:39:58,Avant Arte,2911177,instagram,story,photo,Edition;LY_LE_26,8490,7440,0,,0,1,,8490,821,4802,73,0.32909304,,18111563881937922
FelipePantone_LE_26,2026-06-28 17:01:04,Avant Insiders,72772,instagram,story,photo,Edition;FelipePantone_LE_26,571,499,0,,0,0,,571,58,339,11,0.2854641,,18169309903439219
FelipePantone_LE_26,2026-06-28 17:00:42,Avant Arte,2910961,instagram,story,video,Edition;FelipePantone_LE_26,7078,6315,0,,0,2,,7078,690,5117,104,0.16487709,,18091573637246742
FelipePantone_LE_26,2026-06-28 17:00:01,Avant Arte,2910961,instagram,story,photo,Edition;FelipePantone_LE_26,8805,7911,0,,0,0,,8805,847,5190,92,0.30391824,,17934285348295391
ZengFanzhi_TL_26,2026-06-26 09:02:17,Avant Arte,2910637,instagram,story,photo,Edition;ZengFanzhi_TL_26,10667,8950,1,,1,3,,10667,1157,6080,97,0.312459,,18098795492157069
ZengFanzhi_TL_26,2026-06-26 09:00:52,Avant Arte,2910637,instagram,collaboration,carousel,Edition;ZengFanzhi_TL_26,108115,41529,1052,967,13,35,33,108115,,,,,,18093774950587524
ZengFanzhi_TL_26,2026-06-26 09:00:05,Avant Insiders,72788,instagram,post,carousel,Edition;ZengFanzhi_TL_26,3395,1493,45,41,0,3,1,3395,,,,,,18105093136950367
ZengFanzhi_TL_26,2026-06-26 08:00:03,Avant Arte,13507,twitter,post,photo,Edition;ZengFanzhi_TL_26,697,,59,5,0,0,,,,,,,,2070416787099791506
YoonHyup_LE_26,2026-06-25 17:02:18,Avant Insiders,72789,instagram,story,photo,Edition;YoonHyup_LE_26,437,336,0,,0,0,,437,55,262,18,0.23340961,,18106768927810834
YoonHyup_LE_26,2026-06-25 17:00:16,Avant Arte,2910486,instagram,story,photo,Edition;YoonHyup_LE_26,6380,5447,0,,0,2,,6380,837,4237,123,0.1854232,,18202385572359642
YoonHyup_LE_26,2026-06-25 17:00:03,Avant Insiders,72789,instagram,post,carousel,Edition;YoonHyup_LE_26,5529,2863,122,106,2,7,3,5529,,,,,,18085028633335961
YoonHyup_LE_26,2026-06-25 17:00:03,Avant Arte,2910486,instagram,post,carousel,Edition;YoonHyup_LE_26,113387,45180,2235,1976,4,85,149,113387,,,,,,18607710682009203
YoonHyup_LE_26,2026-06-25 16:00:02,Avant Arte,13507,twitter,post,photo,Edition;YoonHyup_LE_26,1265,,75,17,1,1,,,,,,,,2070175193948168200
JohnsonTs_Alliance_26,2026-06-25 12:59:58,Avant Insiders,72789,instagram,story,photo,Edition;JohnsonTs_Alliance_26,2220,1935,0,,0,1,,2220,57,253,5,0.8581081,,17931384612299795
JohnsonTs_Alliance_26,2026-06-25 12:59:08,Avant Arte,2910400,instagram,story,photo,Edition;JohnsonTs_Alliance_26,9316,7876,0,,0,3,,9316,841,4273,57,0.44493344,,18121623085809349
UrsFischer_LE_26,2026-06-24 17:00:44,Avant Insiders,72784,instagram,story,photo,Edition;UrsFischer_LE_26,401,337,0,,0,0,,401,42,275,13,0.17705736,,18053462699525178
UrsFischer_LE_26,2026-06-24 17:00:37,Avant Insiders,72784,instagram,story,photo,Edition;UrsFischer_LE_26,453,396,0,,0,0,,453,41,288,1,0.27152318,,18606368776062237
UrsFischer_LE_26,2026-06-24 16:59:42,Avant Arte,2910124,instagram,story,photo,Edition;UrsFischer_LE_26,4800,4267,0,,0,0,,4800,447,3630,88,0.13229166,,18381481129163347
UrsFischer_LE_26,2026-06-24 16:59:26,Avant Arte,2910124,instagram,story,photo,Edition;UrsFischer_LE_26,5258,4684,0,,0,0,,5258,344,3821,74,0.19379993,,18090506756069605
HankWillisT_LE_26,2026-06-24 15:00:02,Avant Arte,2910162,instagram,post,carousel,Edition;HankWillisT_LE_26,97257,35896,1550,1440,3,41,57,97257,,,,,,18010525052730464
HankWillisT_LE_26,2026-06-24 14:59:13,Avant Arte,2910162,instagram,story,photo,Edition;HankWillisT_LE_26,6524,5824,0,,0,1,,6524,757,3845,70,0.28387493,,17994644222994699
GregoryCrewd_TL_26,2026-06-23 17:01:56,Avant Arte,2909947,instagram,story,video,Edition;GregoryCrewd_TL_26;Reel,10221,9088,0,,0,2,,10221,1361,6387,82,0.23393014,,18099120194129007
GregoryCrewd_TL_26,2026-06-23 17:00:46,Avant Arte,2909947,instagram,post,reel,Edition;GregoryCrewd_TL_26;Reel,151989,104044,7208,4976,21,917,1294,151989,,,,,151989,18005978360939192
