campaign_name,spend_date,impressions,reach,link_clicks,spend
JaumePlen_LE_26 · Enter draw,2026-08-02,391773,331909,3993,3858.37
LY_LE_26 · Enter draw,2026-08-02,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-02,18904,17944,229,77.48
PietMondrian_LE_26 · Enter draw,2026-08-02,75176,67904,1195,437.54
YoonHyup_LE_26 · Enter draw,2026-08-02,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-02,22149,18805,320,176.7
ZengFanzhi_TL_26 · Enter draw,2026-08-02,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-01,20757,16970,674,179.28
AhmedM_Salam_26 · Enter draw,2026-08-01,0,0,0,0
Backside_LE_26 · Enter draw,2026-08-01,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-01,9519,8739,138,134.99
JaumePlen_LE_26 · Enter draw,2026-08-01,347817,291826,4029,4089.39
PietMondrian_LE_26 · Enter draw,2026-08-01,73939,66603,1281,475.17
YoonHyup_LE_26 · Enter draw,2026-08-01,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-01,23927,19332,475,200.72
ZengFanzhi_TL_26 · Enter draw,2026-08-01,0,0,0,0
LY_LE_26 · Enter draw,2026-07-31,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-07-31,0,0,0,0
Backside_LE_26 · Enter draw,2026-07-31,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-07-31,8359,7031,282,75.37
JaumePlen_LE_26 · Enter draw,2026-07-31,421468,379602,4104,5771.87
Abdulnasser_LE_26 · Enter draw,2026-07-31,41503,36165,552,529.04
PietMondrian_LE_26 · Enter draw,2026-07-31,71277,63428,1245,428.53
YoonHyup_LE_26 · Enter draw,2026-07-31,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-07-31,7645,7140,124,61.78
ZengFanzhi_TL_26 · Enter draw,2026-07-31,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-07-30,25280,21117,400,288.54
AhmedM_Salam_26 · Enter draw,2026-07-30,0,0,0,0
Backside_LE_26 · Enter draw,2026-07-30,0,0,0,0
GregoryCrewd_TL_26 · Purchases,2026-07-30,0,0,0,0
JaumePlen_LE_26 · Enter draw,2026-07-30,736076,633732,6648,8219.98
LY_LE_26 · Enter draw,2026-07-30,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-07-30,86176,76395,1596,556.47
YoonHyup_LE_26 · Enter draw,2026-07-30,0,0,0,0
ZengFanzhi_TL_26 · Enter draw,2026-07-30,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-07-29,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-07-29,0,0,0,0
Backside_LE_26 · Enter draw,2026-07-29,0,0,0,0
GregoryCrewd_TL_26 · Purchases,2026-07-29,0,0,0,0
JaumePlen_LE_26 · Enter draw,2026-07-29,875498,777816,9353,9427.99
LY_LE_26 · Enter draw,2026-07-29,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-07-29,130361,119020,2835,841.23
Abdulnasser_LE_26 · Enter draw,2026-07-29,7194,6128,135,76.4
ZengFanzhi_TL_26 · Enter draw,2026-07-29,0,0,0,0
LY_LE_26 · Enter draw,2026-07-28,0,0,0,0
Backside_LE_26 · Enter draw,2026-07-28,0,0,0,0
GregoryCrewd_TL_26 · Purchases,2026-07-28,0,0,0,0
GregoryCrewd_TL_26 · Sign-ups,2026-07-28,0,0,0,0
HankWillisT_LE_26 · Enter draw,2026-07-28,0,0,0,0
